Year,Burundi Median Age,Central African Republic Median Age,Syria Median Age,Madagascar Median Age,Democratic Republic of Congo Median Age,Niger Median Age,Gambia Median Age,Sudan Median Age,Rwanda Median Age,Uganda Median Age
1950,18.3,21.2,19.6,19.7,17.1,14.2,17.0,16.1,17.2,18.1
1951,18.1,21.0,19.4,19.5,17.1,14.2,17.3,16.1,17.1,18.0
1952,17.9,20.9,19.1,19.2,17.1,14.3,17.5,16.1,17.0,17.8
1953,17.7,20.7,18.8,19.0,17.2,14.3,17.6,16.1,16.9,17.7
1954,17.5,20.5,18.6,18.8,17.2,14.3,17.8,16.0,16.7,17.4
1955,17.3,20.4,18.3,18.5,17.2,14.3,17.9,16.0,16.5,17.2
1956,17.1,20.2,17.9,18.2,17.2,14.3,18.1,16.0,16.2,17.0
1957,17.0,20.0,17.6,18.0,17.2,14.4,18.2,15.9,15.9,16.7
1958,16.8,19.9,17.3,17.6,17.2,14.4,18.2,15.9,15.5,16.4
1959,16.6,19.7,16.9,17.3,17.2,14.4,18.3,15.8,15.2,16.1
1960,16.5,19.5,16.6,17.0,17.3,14.5,18.4,15.7,14.9,15.9
1961,16.5,19.4,16.3,16.6,17.3,14.5,18.5,15.7,14.6,15.7
1962,16.5,19.2,16.0,16.3,17.3,14.5,18.5,15.6,14.4,15.5
1963,16.4,19.0,15.8,16.0,17.4,14.5,18.6,15.6,14.2,15.4
1964,16.4,18.8,15.6,15.8,17.4,14.4,18.7,15.5,14.1,15.3
1965,16.4,18.7,15.5,15.6,17.5,14.4,18.7,15.4,14.2,15.3
1966,16.3,18.5,15.4,15.6,17.5,14.4,18.8,15.3,14.3,15.4
1967,16.3,18.3,15.3,15.6,17.5,14.4,18.8,15.3,14.4,15.4
1968,16.3,18.2,15.1,15.6,17.4,14.5,18.8,15.2,14.6,15.4
1969,16.3,18.1,15.0,15.5,17.4,14.5,18.6,15.1,14.7,15.4
1970,16.3,18.0,14.9,15.5,17.3,14.6,18.5,15.1,14.9,15.4
1971,16.4,17.9,14.8,15.5,17.2,14.7,18.4,15.0,15.0,15.4
1972,16.1,17.7,14.7,15.4,17.1,14.7,18.3,15.0,15.1,15.3
1973,15.9,17.6,14.7,15.4,17.0,14.8,18.2,15.0,15.2,15.1
1974,16.0,17.5,14.6,15.4,16.9,14.9,18.0,15.0,15.3,15.1
1975,16.0,17.4,14.6,15.3,16.8,15.0,17.8,15.0,15.4,15.0
1976,16.0,17.3,14.6,15.3,16.7,15.0,17.6,15.1,15.4,15.0
1977,16.0,17.3,14.5,15.3,16.6,15.1,17.4,15.1,15.5,15.0
1978,16.1,17.2,14.5,15.3,16.7,15.2,17.2,15.2,15.5,14.9
1979,16.0,17.1,14.4,15.3,16.7,15.2,17.1,15.2,15.5,14.9
1980,16.2,17.1,14.4,15.3,16.8,15.2,16.9,15.3,15.5,14.8
1981,16.4,17.0,14.4,15.3,16.7,15.2,16.8,15.3,15.5,14.8
1982,16.2,16.9,14.5,15.3,16.7,15.2,16.6,15.4,15.4,14.7
1983,16.0,16.8,14.5,15.4,16.6,15.2,16.5,15.4,15.3,14.7
1984,15.9,16.7,14.6,15.4,16.6,15.2,16.4,15.3,15.1,14.8
1985,15.6,16.6,14.7,15.5,16.6,15.2,16.4,15.3,15.0,14.8
1986,15.4,16.6,14.8,15.6,16.6,15.2,16.3,15.2,15.0,14.8
1987,15.2,16.5,15.0,15.7,16.5,15.3,16.3,15.2,14.9,14.8
1988,15.1,16.4,15.1,15.8,16.5,15.3,16.2,15.1,14.8,14.8
1989,14.9,16.3,15.3,15.9,16.5,15.3,16.2,15.0,14.7,14.7
1990,14.7,16.2,15.4,15.9,16.5,15.3,16.2,15.0,14.6,14.7
1991,14.6,16.1,15.6,16.0,16.5,15.4,16.1,15.0,14.5,14.6
1992,14.6,16.0,15.9,16.1,16.5,15.4,16.1,14.9,14.6,14.6
1993,13.6,15.9,16.1,16.1,16.5,15.4,16.1,15.0,14.6,14.6
1994,13.6,15.9,16.3,16.2,16.7,15.4,16.0,15.0,14.1,14.5
1995,14.4,15.8,16.6,16.2,16.8,15.4,16.0,15.1,13.6,14.3
1996,14.2,15.8,16.8,16.2,16.5,15.4,15.9,15.3,13.9,14.1
1997,14.0,15.8,17.0,16.2,16.1,15.4,15.9,15.4,14.2,14.0
1998,14.2,15.8,17.3,16.2,15.9,15.4,15.9,15.6,14.5,13.9
1999,14.5,15.8,17.5,16.3,15.9,15.3,15.9,15.8,15.0,13.8
2000,14.7,15.8,17.8,16.3,15.8,15.3,15.9,16.0,15.4,13.8
2001,14.9,15.8,18.0,16.3,15.8,15.2,15.9,16.2,15.7,13.8
2002,15.1,15.9,18.3,16.3,15.8,15.1,15.9,16.3,16.1,13.8
2003,15.3,15.9,18.5,16.4,15.7,15.0,15.9,16.5,16.4,13.8
2004,15.5,15.9,18.8,16.4,15.7,14.9,15.9,16.6,16.6,13.8
2005,15.7,15.9,19.0,16.5,15.7,14.8,15.9,16.8,16.8,13.8
2006,15.8,15.9,19.5,16.6,15.8,14.7,15.9,17.0,17.0,13.8
2007,15.9,15.8,20.1,16.7,15.8,14.6,15.9,17.2,17.2,13.8
2008,16.1,15.8,20.5,16.8,15.7,14.5,15.9,17.4,17.3,13.9
2009,16.3,15.7,20.6,16.9,15.7,14.5,15.9,17.5,17.5,14.0
2010,16.5,15.7,20.8,17.0,15.7,14.4,15.9,17.5,17.6,14.0
2011,16.3,15.5,21.0,17.1,15.7,14.4,15.9,17.5,17.7,14.1
2012,16.2,15.3,20.9,17.3,15.7,14.4,15.9,17.5,17.8,14.2
2013,16.1,15.0,20.2,17.5,15.7,14.4,16.0,17.5,17.9,14.3
2014,16.0,14.7,19.0,17.7,15.7,14.4,16.0,17.6,18.1,14.4
2015,15.6,14.5,18.3,17.9,15.7,14.4,16.1,17.7,18.2,14.6
2016,15.2,14.5,18.2,18.1,15.7,14.4,16.2,17.8,18.3,14.8
2017,15.1,14.5,18.4,18.3,15.7,14.4,16.3,18.0,18.4,15.0
2018,15.1,14.5,19.0,18.4,15.7,14.4,16.4,18.1,18.5,15.3
2019,15.3,14.6,19.7,18.6,15.6,14.4,16.5,18.2,18.7,15.5
2020,15.4,14.7,20.4,18.8,15.6,14.4,16.7,18.3,18.8,15.7
2021,15.6,14.7,20.9,19.0,15.6,14.5,16.8,18.4,19.0,15.9
