Year,Burundi Maize Supply (kg per capita),Central African Republic Maize Supply (kg per capita),Syria Maize Supply (kg per capita),Madagascar Maize Supply (kg per capita),Democratic Republic of Congo Maize Supply (kg per capita),Niger Maize Supply (kg per capita),Gambia Maize Supply (kg per capita),Sudan Maize Supply (kg per capita),Rwanda Maize Supply (kg per capita),Uganda Maize Supply (kg per capita)
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,,18.880417,,18.974474,,0.56157905,0.9635724,,7.827633,15.286165
1962,,13.617552,,16.52049,,1.8622564,0.8456107,,7.6125264,14.482102
1963,,11.759584,,16.728374,,0.5311844,0.8063457,,8.9940195,13.026328
1964,,11.602915,,20.42172,,0.94741875,0.8583417,,9.252572,15.510524
1965,,11.146851,,18.203835,,0.615118,1.03982,,10.388421,16.810318
1966,,12.65244,,20.057428,,0.48231447,1.2453765,,10.379034,15.5025625
1967,,14.333384,,19.909735,,0.566986,2.5124347,,11.998513,17.97789
1968,,16.303827,,19.303759,,0.4628316,4.147655,,12.077662,15.391717
1969,,15.495342,,18.80214,,0.31169507,4.2437468,,11.179698,21.59225
1970,,16.18119,,13.925007,,0.31185898,4.691995,,11.815174,18.10056
1971,,14.999638,,13.627795,,1.1916902,5.6535764,,12.262673,15.802729
1972,,15.756178,,12.78772,,0.4450681,7.5161176,,11.984023,18.158213
1973,,14.72217,,12.821043,,2.2750578,8.111502,,11.758543,22.849348
1974,,19.49247,,13.723981,,2.3247864,7.6378255,,12.643296,18.480417
1975,,13.0879345,,13.344828,,2.5547333,7.0807214,,13.012055,16.9729
1976,,11.197841,,14.648539,,2.527372,6.667152,,13.224454,24.499203
1977,,10.9409685,,12.30996,,1.9100446,7.052966,,14.099708,27.802849
1978,,11.7442045,,11.334343,,2.4212534,8.75229,,10.306923,23.18567
1979,,11.892814,,11.354062,,2.5113924,8.390011,,14.355569,25.487736
1980,,11.665237,,12.3949375,,2.2681346,4.6901393,,14.19582,19.159397
1981,,14.062926,,11.356414,,1.7338505,4.947143,,13.582884,13.413819
1982,,15.28102,,10.242318,,2.0953207,11.42872,,14.185743,16.34775
1983,,14.276194,,11.812817,,2.0619466,11.614722,,12.940663,15.505894
1984,,13.785014,,11.794506,,2.1693497,5.4648433,,13.412739,14.872814
1985,,14.517006,,11.679362,,4.2258277,10.073963,,13.295586,15.061746
1986,,15.187935,,12.553208,,2.6715078,13.131494,,12.22479,14.272487
1987,,17.699785,,11.949489,,2.1827211,7.9188504,,11.779024,14.224655
1988,,15.683001,,10.40549,,1.4187799,9.852651,,13.5367985,16.944199
1989,,18.667059,,10.422387,,0.6578545,9.279361,,13.655035,23.761799
1990,,15.481538,,9.153033,,1.3709712,8.089427,,14.528625,22.663265
1991,,21.39839,,9.250021,,0.6859533,7.129267,,13.508854,21.36124
1992,,21.568987,,9.763912,,1.1698046,10.659394,,14.402553,21.314154
1993,,22.619507,,9.555754,,1.0978408,9.214486,,14.127605,21.293879
1994,,24.70147,,9.8313465,,0.91379607,10.585968,,17.687658,23.668108
1995,,21.925268,,10.611751,,1.95223,6.5565143,,20.965246,25.905146
1996,,27.329248,,10.821351,,1.5537039,5.9552827,,15.585487,31.603886
1997,,19.836117,,9.976743,,4.3927107,4.35567,,11.0231,31.193876
1998,,20.69238,,8.5728245,,8.526731,5.2386675,,8.9594965,27.037636
1999,,22.04291,,9.6249485,,2.8113935,6.8085756,,7.8239923,29.093102
2000,,22.365068,,9.204404,,6.3352895,6.702673,,12.84765,29.63161
2001,,23.169388,,9.463902,,3.1446567,6.5428643,,10.896807,29.714546
2002,,24.275377,,8.721965,,5.189169,7.10928,,12.968349,30.061064
2003,,25.07139,,16.287308,,2.51714,7.889377,,12.430031,29.806717
2004,,25.927536,,17.372936,,5.913865,7.4165773,,13.114962,28.098326
2005,,27.009953,,18.463074,,2.79757,6.984311,,11.678789,28.15291
2006,,26.984205,,18.913269,,2.9426172,7.91533,,12.297616,25.67023
2007,,28.327492,,18.821749,,2.8874524,9.850325,,13.521345,24.8696
2008,,29.406801,,18.5344,,2.8035724,12.646231,,15.874809,38.643265
2009,,30.850979,,18.159704,,2.6430683,12.846308,,14.74071,39.14906
2010,,29.400015,14.689863,17.909708,23.68955,3.2833958,18.593748,,25.776651,49.29114
2011,,30.639532,11.166699,17.902576,23.394396,2.5450008,18.302296,,26.537952,50.11133
2012,,29.181116,6.799262,18.565544,24.187239,4.9258733,17.67261,0.38088337,28.19411,57.081905
2013,,22.182405,6.275283,15.856939,23.925556,4.295365,17.311937,0.19571356,29.500505,59.42156
2014,12.728744,15.711827,9.694706,14.544062,23.206326,4.955995,13.166494,1.354772,25.456703,54.266003
2015,15.229883,15.214893,6.2222843,12.618771,22.663084,3.696689,15.15568,0.7236123,24.812094,49.355343
2016,22.758745,16.933588,5.5628157,11.704168,22.282806,2.5934396,12.612743,0.79942596,24.67616,45.595783
2017,22.972834,15.333058,3.9445305,10.3673315,22.348122,2.0471191,9.167706,0.35114583,23.892754,46.874065
2018,27.701479,15.184571,4.031714,7.551908,20.233309,2.9026616,7.4976807,0.60713786,23.147587,47.684345
2019,21.119455,14.783353,6.7266746,7.385511,20.011562,2.8239605,7.8894267,0.44563767,20.256279,49.063965
2020,,,,,,,,,,
2021,,,,,,,,,,
