Year,Burundi Potato Production in tons,Central African Republic Potato Production in tons,Syria Potato Production in tons,Madagascar Potato Production in tons,Democratic Republic of Congo Potato Production in tons,Niger Potato Production in tons,Gambia Potato Production in tons,Sudan Potato Production in tons,Rwanda Potato Production in tons,Uganda Potato Production in tons
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,30000.0,180.0,30100.0,72000.0,17204.0,,,,96500.0,100000.0
1962,30000.0,350.0,33745.0,85000.0,14712.0,,,,73500.0,110000.0
1963,32000.0,500.0,31778.0,92000.0,17670.0,,,,66200.0,110000.0
1964,32000.0,520.0,47656.0,92070.0,17958.0,,,,30400.0,120000.0
1965,34000.0,420.0,48897.0,91165.0,25000.0,,,,43300.0,120000.0
1966,34000.0,400.0,40767.0,95805.0,27000.0,,,,57300.0,130000.0
1967,35000.0,400.0,39700.0,100230.0,28000.0,,,,107250.0,130000.0
1968,35000.0,350.0,50312.0,99010.0,29000.0,,,,78750.0,140000.0
1969,33000.0,400.0,47377.0,97435.0,30200.0,,,,129000.0,140000.0
1970,34000.0,400.0,65324.0,94280.0,28400.0,,,,126000.0,150000.0
1971,34748.0,500.0,72452.0,125230.0,30000.0,,,,148190.0,128000.0
1972,31273.0,400.0,119111.0,134495.0,30000.0,,,,131432.0,161800.0
1973,35512.0,500.0,110456.0,117100.0,32000.0,,,,140116.0,176600.0
1974,28410.0,600.0,104820.0,115930.0,31600.0,,,,109621.0,199100.0
1975,35867.0,700.0,124984.0,121630.0,32500.0,,,,149745.0,221000.0
1976,37000.0,800.0,132284.0,133545.0,32800.0,,,,169766.0,345000.0
1977,38000.0,900.0,164000.0,147565.0,33100.0,287.0,,,177250.0,267000.0
1978,30000.0,400.0,198592.0,180970.0,30900.0,360.0,,,218703.0,293400.0
1979,33500.0,400.0,235103.0,183005.0,25000.0,360.0,,,214917.0,131000.0
1980,30000.0,430.0,292249.0,166150.0,25500.0,400.0,,,217060.0,166000.0
1981,36000.0,450.0,310633.0,160630.0,26500.0,500.0,,,254113.0,175000.0
1982,35000.0,460.0,279151.0,200810.0,27000.0,800.0,,,268800.0,196000.0
1983,36000.0,460.0,315100.0,252695.0,28000.0,1000.0,,,224700.0,209000.0
1984,37000.0,500.0,321600.0,263510.0,28500.0,1200.0,,,263200.0,132000.0
1985,40000.0,600.0,280400.0,263600.0,29100.0,1400.0,,,335420.0,168000.0
1986,42000.0,600.0,409000.0,263900.0,30130.0,1600.0,,,288700.0,98000.0
1987,42900.0,700.0,334100.0,266640.0,31160.0,1800.0,,,267120.0,185000.0
1988,43800.0,700.0,336600.0,270100.0,31850.0,2000.0,,,171300.0,190000.0
1989,43500.0,800.0,370500.0,271000.0,32560.0,2200.0,,,238600.0,248000.0
1990,44500.0,848.0,398200.0,272000.0,33280.0,2400.0,,,283673.0,224000.0
1991,45500.0,900.0,451626.0,273000.0,34010.0,14100.0,,,445000.0,254000.0
1992,46700.0,911.0,412500.0,274995.0,35000.0,13900.0,,,347000.0,268000.0
1993,45500.0,930.0,360710.0,280000.0,112924.0,11230.0,,,204159.0,320000.0
1994,32398.0,935.0,362437.0,270000.0,115816.0,10120.0,,,114900.0,368000.0
1995,41567.0,943.0,470969.0,275000.0,86687.0,12980.0,,,137700.0,402000.0
1996,42385.0,950.0,439140.0,280000.0,87465.0,13850.0,,,195381.0,318000.0
1997,48596.0,960.0,265508.0,280000.0,88250.0,13530.0,,,229625.0,360000.0
1998,23355.0,970.0,492264.0,280000.0,88000.0,19540.0,,,181138.0,384000.0
1999,24393.0,987.0,496503.0,291000.0,89046.0,7590.0,,,175889.0,449000.0
2000,24039.0,1000.0,484778.0,286715.0,89847.0,7623.0,,,957202.0,478000.0
2001,27319.0,1020.0,453435.0,294755.0,90660.0,6100.0,,,1012269.0,508000.0
2002,27994.0,1037.0,513200.0,296050.0,91480.0,22450.0,,,1038931.0,546000.0
2003,26330.0,1055.0,486600.0,255000.0,91890.0,5960.0,,,1099549.0,557000.0
2004,26091.0,1075.0,541743.0,280500.0,92300.0,11500.0,,,1072770.0,573000.0
2005,29306.0,1094.0,608400.0,214650.0,93140.0,13300.0,,,1314050.0,585000.0
2006,26176.0,1101.0,603400.0,216631.0,93140.0,32300.0,,,1275585.0,628000.0
2007,24406.0,1124.0,570128.0,218627.0,93560.0,32300.0,,,967283.0,650000.0
2008,28900.0,1149.0,720492.0,220655.0,93980.0,22620.0,,,1161943.0,147000.0
2009,30482.0,1175.0,705586.0,224683.0,94402.0,33966.0,,,1289623.0,162000.0
2010,29681.0,1200.0,673200.0,224787.0,94826.0,26504.0,,,1789404.0,167000.0
2011,28158.0,1250.0,715276.0,228375.0,95269.0,24332.0,,,2171517.0,179712.0
2012,47841.0,1300.0,698129.0,230677.0,97848.0,58990.0,,339360.0,2337706.0,185103.0
2013,122904.0,1300.0,441718.0,232251.0,98704.0,88139.0,,342754.0,2240715.0,175270.0
2014,181209.0,1313.0,539611.0,236646.0,99572.0,79760.0,,407600.0,719006.0,180956.0
2015,123711.0,1353.0,461115.0,239643.0,99751.0,143493.0,,413800.0,742626.0,173093.0
2016,145687.0,1322.0,478370.0,244412.0,100136.0,161181.0,,415300.0,751284.0,171271.0
2017,204891.0,1329.0,562416.0,250160.0,100468.0,165743.0,,418622.0,846184.0,299338.0
2018,302665.0,1335.0,562342.0,257379.0,101694.0,168569.0,,439554.0,916062.0,327332.0
2019,376441.0,1329.0,635519.0,250000.0,102932.0,198392.0,,465927.0,973408.0,326000.0
2020,294666.0,1331.0,647319.0,247446.0,103818.0,235635.0,,493882.0,858521.0,309286.0
2021,,,,,,,,,,
