Year,Burundi Rice Supply (kg per capita),Central African Republic Rice Supply (kg per capita),Syria Rice Supply (kg per capita),Madagascar Rice Supply (kg per capita),Democratic Republic of Congo Rice Supply (kg per capita),Niger Rice Supply (kg per capita),Gambia Rice Supply (kg per capita),Sudan Rice Supply (kg per capita),Rwanda Rice Supply (kg per capita),Uganda Rice Supply (kg per capita)
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,,1.0816905,,123.19862,,1.9607676,54.336308,,0.0,1.0905919
1962,,1.1079898,,122.42596,,1.9857733,56.70138,,0.0,0.95111704
1963,,1.0447011,,124.35226,,2.2859898,59.311207,,0.0,0.702665
1964,,1.3209472,,127.11622,,1.7716731,60.88032,,0.2228368,0.8953597
1965,,1.8994235,,126.24918,,2.299595,61.969772,,0.3379133,1.4159877
1966,,2.0493388,,122.15891,,3.2154298,58.33377,,0.5107602,1.3389405
1967,,1.9675018,,125.12273,,3.4113655,61.224518,,0.1155555,1.5621033
1968,,2.22123,,124.7488,,4.7605534,56.437122,,0.26967666,0.29282695
1969,,2.8721344,,125.89992,,5.119355,57.60462,,0.5878979,0.7783466
1970,,2.96375,,126.70171,,4.9897437,58.730247,,0.616779,0.933868
1971,,1.8815801,,133.40219,,4.747845,57.516056,,0.40458155,1.6022465
1972,,1.7477441,,128.72511,,3.6078923,53.73982,,0.5298403,1.3579663
1973,,2.0376399,,131.07378,,3.952913,49.94173,,0.4815128,0.5521389
1974,,3.3355155,,131.4044,,5.010152,49.0675,,0.4625596,1.0507569
1975,,3.2763994,,127.45292,,3.5994196,66.39558,,0.83979887,1.1629068
1976,,2.9528856,,128.68947,,3.8290637,61.904423,,0.51310104,1.5907372
1977,,3.989176,,124.63834,,4.0671597,67.35456,,1.0105923,0.94592744
1978,,3.4128458,,119.965744,,5.9249496,66.827995,,1.1321998,1.2188294
1979,,3.3251712,,118.278,,6.993991,60.90121,,0.6854637,1.4601861
1980,,3.615376,,118.95426,,7.24858,61.257587,,1.694877,1.9083817
1981,,3.077164,,118.25694,,7.5007877,73.03767,,1.7283756,1.2965739
1982,,3.3317313,,112.15922,,9.179948,68.44581,,1.3681188,1.1711247
1983,,4.0718017,,123.93743,,8.86637,64.604256,,1.4410754,1.3323869
1984,,3.7880936,,117.266106,,8.901815,72.97223,,1.7068995,1.3291426
1985,,3.7499697,,116.41562,,13.050624,83.824265,,1.6777995,1.1211008
1986,,3.8333435,,113.62836,,10.136837,72.27498,,1.8632946,1.1861064
1987,,4.055546,,107.61329,,11.192252,71.85269,,1.6812879,1.1032975
1988,,3.7761216,,99.32778,,8.141756,76.49623,,1.3374681,0.75219566
1989,,3.6224356,,103.71879,,9.636179,73.66209,,1.3756183,1.8882232
1990,,3.224888,,100.04207,,9.485639,73.64198,,1.350354,1.774774
1991,,3.0745406,,92.11155,,9.798009,77.02936,,1.73286,1.9682716
1992,,3.1308174,,95.07427,,9.377005,60.513363,,1.4701715,2.148403
1993,,2.792032,,93.71242,,10.243414,61.999336,,1.672905,2.326054
1994,,2.841673,,90.43286,,5.566696,62.26028,,2.4332225,2.644203
1995,,2.8793788,,88.39569,,7.6034226,64.79278,,1.6134775,2.5774767
1996,,1.3644705,,89.79976,,8.676407,65.311035,,1.6865882,2.8510995
1997,,3.2977664,,90.479065,,12.69944,64.45364,,1.7218318,3.533287
1998,,3.7783515,,91.18809,,11.877189,36.405746,,2.7358623,3.7600002
1999,,3.9261184,,91.184746,,10.754995,43.098198,,2.9217415,4.958248
2000,,4.209781,,92.96643,,10.788903,46.234764,,1.0456185,4.749951
2001,,4.9999638,,95.911896,,12.436549,43.136658,,4.1648602,3.5762818
2002,,4.9739127,,97.80852,,18.973196,37.710094,,3.0381148,4.407602
2003,,5.2025986,,96.63414,,18.94979,28.258787,,3.3338473,4.7352657
2004,,3.3686872,,97.72642,,19.215307,30.028934,,3.4313624,4.582472
2005,,5.430224,,98.534615,,18.02244,34.168602,,5.6827025,5.0878754
2006,,6.0935106,,98.95414,,15.074962,38.450836,,5.825735,4.3472114
2007,,6.373216,,99.54332,,13.684427,50.689754,,5.8172016,4.863988
2008,,6.801318,,99.5884,,13.331273,56.409645,,6.291399,4.7601004
2009,,5.7290673,,100.562645,,12.347041,58.77923,,8.030856,5.304269
2010,,9.611725,21.059298,150.20795,10.629178,22.22226,61.880436,,11.266938,6.7479534
2011,,9.161042,12.298209,149.18489,10.005334,22.360357,61.07547,,11.999008,6.8068557
2012,,8.865855,14.394183,147.53185,10.440954,24.292385,59.792946,2.058829,13.683438,6.826435
2013,,5.251534,13.279191,146.55743,11.209944,24.89923,58.80328,2.0704436,10.138668,6.9419603
2014,6.0032396,6.539618,9.321834,143.50206,11.641969,25.216978,81.54166,1.4471426,10.052033,7.1311746
2015,5.427067,6.6285477,7.665405,142.97047,12.233026,25.46939,82.74056,1.8956604,10.536107,7.721016
2016,7.5605974,6.6438885,5.8851643,142.70496,12.945894,24.781757,83.503784,1.3661077,11.51163,8.718045
2017,8.307878,6.6685467,6.871408,142.71936,14.332158,29.32548,86.2285,1.7456965,12.323528,9.387124
2018,7.389654,6.850458,10.999568,144.94382,16.69055,30.000795,78.8562,1.5725865,12.25114,7.4207664
2019,7.379672,5.656477,8.883966,145.7414,17.511322,37.5368,78.6135,1.2180763,11.018471,8.287275
2020,,,,,,,,,,
2021,,,,,,,,,,
