Year,Burundi Wheat Supply (kg per capita),Central African Republic Wheat Supply (kg per capita),Syria Wheat Supply (kg per capita),Madagascar Wheat Supply (kg per capita),Democratic Republic of Congo Wheat Supply (kg per capita),Niger Wheat Supply (kg per capita),Gambia Wheat Supply (kg per capita),Sudan Wheat Supply (kg per capita),Rwanda Wheat Supply (kg per capita),Uganda Wheat Supply (kg per capita)
1950,,,,,,,,,,
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,,2.7355149,,4.0738425,,0.95182896,5.9099107,,0.32451245,2.7622366
1962,,2.6091373,,4.2378216,,1.1876636,6.410275,,0.3615706,2.7367048
1963,,3.232323,,4.8824444,,0.80626196,5.6265016,,0.49588647,1.5674834
1964,,3.195264,,4.036387,,0.7863576,4.8491883,,0.07750845,4.0155525
1965,,3.5669923,,4.5110383,,0.68136156,4.945698,,0.68548125,3.5490465
1966,,5.0431557,,5.104077,,1.1064861,5.1198807,,1.1371642,4.053255
1967,,5.2080927,,3.7529848,,1.1528715,6.1310263,,0.876296,3.3160436
1968,,5.1710234,,4.443244,,1.0295641,7.100512,,0.52972203,2.845912
1969,,5.4517365,,3.3933148,,1.1995537,5.6526704,,1.3203608,2.3625107
1970,,5.803642,,4.9222817,,1.7861013,5.7572045,,2.9393375,3.2044492
1971,,5.6005716,,5.435306,,1.6267517,7.140915,,1.5316302,2.4171033
1972,,4.395841,,6.556541,,1.7234552,5.5163393,,1.656955,5.4593916
1973,,4.983838,,4.7033453,,1.327117,6.4060497,,2.031984,2.1441393
1974,,2.7531238,,1.9254833,,1.3948718,5.911235,,1.0503958,3.2905283
1975,,4.3449826,,1.8545386,,1.3580923,2.7710867,,2.5290492,1.2182833
1976,,4.260338,,1.8531284,,2.0523021,7.4136014,,2.284752,2.136397
1977,,3.511916,,6.537216,,2.8698182,4.6822214,,1.9823158,0.9737488
1978,,1.4326652,,6.6614985,,3.9689567,14.601216,,2.732896,1.0420526
1979,,4.353288,,6.41113,,4.312013,15.913249,,1.4492662,0.32760587
1980,,4.5757103,,4.007827,,4.7347307,15.59177,,2.1945229,1.738328
1981,,5.4066057,,8.995373,,6.530208,16.229658,,1.7479051,1.3633093
1982,,5.0806456,,3.7289045,,6.5960317,7.9284105,,1.9405941,1.5742987
1983,,5.794104,,3.3320692,,6.701326,9.914389,,3.5978527,1.6799661
1984,,4.800953,,1.8622904,,6.910127,13.275404,,3.074359,1.4455639
1985,,5.948582,,3.0628037,,5.988921,11.844176,,3.0336955,1.0041164
1986,,10.170306,,4.6432333,,5.175465,12.311853,,3.0956323,0.93124056
1987,,11.422597,,4.8593297,,5.582194,12.174145,,1.7513416,1.438227
1988,,11.096959,,4.4359226,,6.880619,14.362235,,1.8947465,2.0388463
1989,,9.056088,,2.8460016,,6.8750434,12.6192255,,1.8914752,1.1826241
1990,,12.381082,,6.432386,,8.142457,18.593346,,3.0555453,0.8774163
1991,,8.154216,,4.926219,,6.757567,25.390348,,3.2793908,1.9682716
1992,,9.055915,,5.255996,,6.990975,24.187956,,2.3078275,1.6387817
1993,,9.792344,,6.6132803,,8.847854,24.50294,,1.8033607,1.996613
1994,,6.4364395,,4.561434,,3.1982863,22.737041,,2.3311293,3.8216214
1995,,9.987844,,6.6444693,,2.2231138,16.108086,,2.579572,4.222248
1996,,2.4002728,,4.877365,,4.9793406,24.052488,,1.7925519,1.7932711
1997,,4.189055,,4.5278316,,3.200672,25.629137,,2.709353,3.1395776
1998,,8.0486765,,5.527726,,4.7245235,24.843075,,2.8173945,4.8617206
1999,,9.258607,,6.0738087,,4.8680506,23.97097,,2.127577,3.655572
2000,,10.258318,,6.349874,,5.1344213,23.185776,,1.4493722,4.6387825
2001,,7.4951286,,6.7724233,,5.9956856,17.787342,,2.5138285,1.9856976
2002,,7.810672,,5.3770866,,6.46986,28.153782,,2.544287,5.402867
2003,,8.512479,,7.1317782,,5.1482635,22.186722,,3.6640368,6.822856
2004,,6.481884,,6.0440297,,4.772927,21.515844,,4.389197,9.829811
2005,,8.187686,,6.9783998,,5.994793,21.878984,,5.808056,12.889284
2006,,9.783418,,6.9854555,,4.4663024,20.23865,,6.8262196,13.227501
2007,,5.744342,,8.7206135,,4.6408887,27.662346,,7.068213,10.744331
2008,,6.220489,,6.2267036,,4.0337114,31.836605,,9.228082,8.916075
2009,,6.719738,,5.8235292,,4.904466,33.9361,,10.473662,13.161283
2010,,7.9360275,157.9256,7.339087,8.343856,4.9053144,40.68597,,5.9986463,10.578144
2011,,9.11435,146.61395,8.571832,9.052445,3.9709938,39.351322,,7.3375926,11.522388
2012,,10.622298,144.41199,8.698949,5.5801744,4.8267612,38.561783,61.02369,5.3137674,14.036038
2013,,5.538655,146.7542,8.887283,5.7992516,4.096965,36.94384,60.908123,6.720155,10.544494
2014,4.446149,2.8372452,136.57417,8.816059,6.2575583,3.744309,34.469585,60.821045,10.169031,12.982394
2015,2.3488874,3.3655493,129.86208,9.030126,6.2522197,3.5774407,34.801586,61.558006,7.8703456,11.698818
2016,5.0596366,3.2571712,122.17933,10.806101,5.427987,3.0107746,35.08383,60.62482,8.851338,13.322646
2017,6.2212024,4.3046618,114.50846,12.370445,5.688437,4.233363,34.93212,62.052486,8.581408,15.429766
2018,6.825707,2.8574102,112.21312,13.499525,4.662542,3.5587423,35.987003,62.90346,9.659553,13.997562
2019,7.3505416,3.151596,112.833176,14.6143,4.1702824,4.1563926,36.003113,60.963238,9.385377,7.710052
2020,,,,,,,,,,
2021,,,,,,,,,,
